scaff	start	end	gene	haplo	order	Ds	SEDs	Dn	SEDn	geneY.x	ortho	geneY.y	St	orderchp
Mvlyc1064A1_A1	23657	25687	Mvlyc1064A1_A1_g12.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1296.t1	OG0000926	Mvlyc1064A1_A2_g1296.t1	23657	11
Mvlyc1064A1_A1	24109	24372	Mvlyc1064A1_A1_g13.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1297.t1	OG0000927	Mvlyc1064A1_A2_g1297.t1	24109	12
Mvlyc1064A1_A1	27672	29826	Mvlyc1064A1_A1_g14.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	27672	13
Mvlyc1064A1_A1	34162	36492	Mvlyc1064A1_A1_g15.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1299.t1	OG0000928	Mvlyc1064A1_A2_g1299.t1	34162	14
Mvlyc1064A1_A1	42439	44564	Mvlyc1064A1_A1_g16.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1300.t1	OG0000929	Mvlyc1064A1_A2_g1300.t1	42439	15
Mvlyc1064A1_A1	44670	45157	Mvlyc1064A1_A1_g17.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	44670	16
Mvlyc1064A1_A1	45236	45703	Mvlyc1064A1_A1_g18.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1302.t1	OG0000930	Mvlyc1064A1_A2_g1302.t1	45236	17
Mvlyc1064A1_A1	45781	45948	Mvlyc1064A1_A1_g19.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1303.t1	OG0000931	Mvlyc1064A1_A2_g1303.t1	45781	18
Mvlyc1064A1_A1	46588	48546	Mvlyc1064A1_A1_g20.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1304.t1	OG0000932	Mvlyc1064A1_A2_g1304.t1	46588	19
Mvlyc1064A1_A1	50545	51100	Mvlyc1064A1_A1_g21.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1305.t1	OG0000933	Mvlyc1064A1_A2_g1305.t1	50545	20
Mvlyc1064A1_A1	51513	52240	Mvlyc1064A1_A1_g22.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1306.t1	OG0000934	Mvlyc1064A1_A2_g1306.t1	51513	21
Mvlyc1064A1_A1	53333	55586	Mvlyc1064A1_A1_g23.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1307.t1	OG0000935	Mvlyc1064A1_A2_g1307.t1	53333	22
Mvlyc1064A1_A1	53928	54443	Mvlyc1064A1_A1_g24.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1308.t1	OG0000936	Mvlyc1064A1_A2_g1308.t1	53928	23
Mvlyc1064A1_A1	56765	57706	Mvlyc1064A1_A1_g25.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1309.t1	OG0000937	Mvlyc1064A1_A2_g1309.t1	56765	24
Mvlyc1064A1_A1	61566	63177	Mvlyc1064A1_A1_g26.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1310.t1	OG0000938	Mvlyc1064A1_A2_g1310.t1	61566	25
Mvlyc1064A1_A1	63513	66018	Mvlyc1064A1_A1_g27.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1311.t2	OG0000939	Mvlyc1064A1_A2_g1311.t2	63513	26
Mvlyc1064A1_A1	66550	67505	Mvlyc1064A1_A1_g28.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1312.t1	OG0000940	Mvlyc1064A1_A2_g1312.t1	66550	27
Mvlyc1064A1_A1	71408	72880	Mvlyc1064A1_A1_g29.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1313.t1	OG0000941	Mvlyc1064A1_A2_g1313.t1	71408	28
Mvlyc1064A1_A1	73083	75674	Mvlyc1064A1_A1_g30.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1314.t1	OG0000942	Mvlyc1064A1_A2_g1314.t1	73083	29
Mvlyc1064A1_A1	77299	77861	Mvlyc1064A1_A1_g31.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1315.t1	OG0000943	Mvlyc1064A1_A2_g1315.t1	77299	30
Mvlyc1064A1_A1	79342	82258	Mvlyc1064A1_A1_g32.t3	Mvlyc1064A1	N	0.0039	0.0028	0	0	Mvlyc1064A1_A2_g1316.t1	OG0000944	Mvlyc1064A1_A2_g1316.t1	79342	31
Mvlyc1064A1_A1	82438	84133	Mvlyc1064A1_A1_g33.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1317.t1	OG0000945	Mvlyc1064A1_A2_g1317.t1	82438	32
Mvlyc1064A1_A1	84731	85258	Mvlyc1064A1_A1_g34.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1318.t2	OG0000946	Mvlyc1064A1_A2_g1318.t2	84731	33
Mvlyc1064A1_A1	86916	87920	Mvlyc1064A1_A1_g35.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1319.t1	OG0000947	Mvlyc1064A1_A2_g1319.t1	86916	34
Mvlyc1064A1_A1	90443	91876	Mvlyc1064A1_A1_g36.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1320.t1	OG0000948	Mvlyc1064A1_A2_g1320.t1	90443	35
Mvlyc1064A1_A1	92386	93922	Mvlyc1064A1_A1_g37.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1321.t1	OG0000949	Mvlyc1064A1_A2_g1321.t1	92386	36
Mvlyc1064A1_A1	94248	95819	Mvlyc1064A1_A1_g38.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1322.t1	OG0000950	Mvlyc1064A1_A2_g1322.t1	94248	37
Mvlyc1064A1_A1	96486	99661	Mvlyc1064A1_A1_g39.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1323.t1	OG0000951	Mvlyc1064A1_A2_g1323.t1	96486	38
Mvlyc1064A1_A1	101432	106023	Mvlyc1064A1_A1_g40.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1324.t2	OG0000952	Mvlyc1064A1_A2_g1324.t2	101432	39
Mvlyc1064A1_A1	106474	107890	Mvlyc1064A1_A1_g41.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1325.t1	OG0000953	Mvlyc1064A1_A2_g1325.t1	106474	40
Mvlyc1064A1_A1	108409	110440	Mvlyc1064A1_A1_g42.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1326.t1	OG0000954	Mvlyc1064A1_A2_g1326.t1	108409	41
Mvlyc1064A1_A1	111120	112733	Mvlyc1064A1_A1_g43.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1327.t1	OG0000955	Mvlyc1064A1_A2_g1327.t1	111120	42
Mvlyc1064A1_A1	113646	115349	Mvlyc1064A1_A1_g44.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1328.t1	OG0000956	Mvlyc1064A1_A2_g1328.t1	113646	43
Mvlyc1064A1_A1	115614	117044	Mvlyc1064A1_A1_g45.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1329.t1	OG0000957	Mvlyc1064A1_A2_g1329.t1	115614	44
Mvlyc1064A1_A1	118986	121284	Mvlyc1064A1_A1_g46.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1330.t2	OG0000958	Mvlyc1064A1_A2_g1330.t2	118986	45
Mvlyc1064A1_A1	121712	122035	Mvlyc1064A1_A1_g47.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1331.t1	OG0000959	Mvlyc1064A1_A2_g1331.t1	121712	46
Mvlyc1064A1_A1	125206	126008	Mvlyc1064A1_A1_g48.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	125206	47
Mvlyc1064A1_A1	128311	129271	Mvlyc1064A1_A1_g49.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1334.t1	OG0000960	Mvlyc1064A1_A2_g1334.t1	128311	48
Mvlyc1064A1_A1	130054	132843	Mvlyc1064A1_A1_g50.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1335.t1	OG0000961	Mvlyc1064A1_A2_g1335.t1	130054	49
Mvlyc1064A1_A1	133237	134512	Mvlyc1064A1_A1_g51.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1336.t1	OG0000962	Mvlyc1064A1_A2_g1336.t1	133237	50
Mvlyc1064A1_A1	135668	136821	Mvlyc1064A1_A1_g52.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1337.t1	OG0000963	Mvlyc1064A1_A2_g1337.t1	135668	51
Mvlyc1064A1_A1	137505	140273	Mvlyc1064A1_A1_g53.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1338.t1	OG0000964	Mvlyc1064A1_A2_g1338.t1	137505	52
Mvlyc1064A1_A1	141209	141857	Mvlyc1064A1_A1_g54.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1339.t1	OG0000965	Mvlyc1064A1_A2_g1339.t1	141209	53
Mvlyc1064A1_A1	142411	144591	Mvlyc1064A1_A1_g55.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1340.t1	OG0000966	Mvlyc1064A1_A2_g1340.t1	142411	54
Mvlyc1064A1_A1	145335	146902	Mvlyc1064A1_A1_g56.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1341.t1	OG0000967	Mvlyc1064A1_A2_g1341.t1	145335	55
Mvlyc1064A1_A1	149220	153705	Mvlyc1064A1_A1_g57.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1342.t1	OG0000968	Mvlyc1064A1_A2_g1342.t1	149220	56
Mvlyc1064A1_A1	154349	157189	Mvlyc1064A1_A1_g58.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1343.t1	OG0000969	Mvlyc1064A1_A2_g1343.t1	154349	57
Mvlyc1064A1_A1	158422	160299	Mvlyc1064A1_A1_g59.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1344.t2	OG0000970	Mvlyc1064A1_A2_g1344.t2	158422	58
Mvlyc1064A1_A1	160618	163050	Mvlyc1064A1_A1_g60.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1345.t2	OG0000971	Mvlyc1064A1_A2_g1345.t2	160618	59
Mvlyc1064A1_A1	165329	166779	Mvlyc1064A1_A1_g61.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1346.t1	OG0000972	Mvlyc1064A1_A2_g1346.t1	165329	60
Mvlyc1064A1_A1	167842	170926	Mvlyc1064A1_A1_g62.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1347.t1	OG0000973	Mvlyc1064A1_A2_g1347.t1	167842	61
Mvlyc1064A1_A1	171697	173594	Mvlyc1064A1_A1_g63.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1348.t1	OG0000974	Mvlyc1064A1_A2_g1348.t1	171697	62
Mvlyc1064A1_A1	173863	176567	Mvlyc1064A1_A1_g64.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1349.t1	OG0000975	Mvlyc1064A1_A2_g1349.t1	173863	63
Mvlyc1064A1_A1	175241	175477	Mvlyc1064A1_A1_g65.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	175241	64
Mvlyc1064A1_A1	177417	178801	Mvlyc1064A1_A1_g66.t1	Mvlyc1064A1	N	0.0414	0.0114	0.0274	0.0056	Mvlyc1064A1_A2_g1350.t1	OG0000976	Mvlyc1064A1_A2_g1350.t1	177417	65
Mvlyc1064A1_A1	179366	179827	Mvlyc1064A1_A1_g67.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1351.t1	OG0000977	Mvlyc1064A1_A2_g1351.t1	179366	66
Mvlyc1064A1_A1	180716	185718	Mvlyc1064A1_A1_g68.t2	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1352.t2	OG0000978	Mvlyc1064A1_A2_g1352.t2	180716	67
Mvlyc1064A1_A1	186136	186867	Mvlyc1064A1_A1_g69.t1	Mvlyc1064A1	N	0	0	0.0056	0.004	Mvlyc1064A1_A2_g1353.t2	OG0000979	Mvlyc1064A1_A2_g1353.t2	186136	68
Mvlyc1064A1_A1	187675	189438	Mvlyc1064A1_A1_g70.t1	Mvlyc1064A1	N	0.0188	0.0084	0.0097	0.0037	Mvlyc1064A1_A2_g1354.t1	OG0000980	Mvlyc1064A1_A2_g1354.t1	187675	69
Mvlyc1064A1_A1	190478	192255	Mvlyc1064A1_A1_g71.t1	Mvlyc1064A1	N	0.0116	0.0067	0.0014	0.0014	Mvlyc1064A1_A2_g1355.t1	OG0000981	Mvlyc1064A1_A2_g1355.t1	190478	70
Mvlyc1064A1_A1	194198	196672	Mvlyc1064A1_A1_g72.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	194198	71
Mvlyc1064A1_A1	196814	206310	Mvlyc1064A1_A1_g73.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	196814	72
Mvlyc1064A1_A1	201133	205608	Mvlyc1064A1_A1_g74.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	201133	73
Mvlyc1064A1_A1	206579	207529	Mvlyc1064A1_A1_g75.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	206579	74
Mvlyc1064A1_A1	210542	210984	Mvlyc1064A1_A1_g76.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	210542	75
Mvlyc1064A1_A1	213824	214246	Mvlyc1064A1_A1_g77.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	213824	76
Mvlyc1064A1_A1	215113	216890	Mvlyc1064A1_A1_g78.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	215113	77
Mvlyc1064A1_A1	218435	220311	Mvlyc1064A1_A1_g79.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	218435	78
Mvlyc1064A1_A1	220339	221526	Mvlyc1064A1_A1_g81.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	220339	79
Mvlyc1064A1_A1	221857	222877	Mvlyc1064A1_A1_g82.t1	Mvlyc1064A1	N	0.0303	0.0137	0.0246	0.0078	Mvlyc1064A1_A2_g2568.t1	OG0000982	Mvlyc1064A1_A2_g2568.t1	221857	80
Mvlyc1064A1_A1	223529	224844	Mvlyc1064A1_A1_g83.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	223529	81
Mvlyc1064A1_A1	224474	224905	Mvlyc1064A1_A1_g84.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	224474	82
Mvlyc1064A1_A1	225916	226632	Mvlyc1064A1_A1_g85.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	225916	83
Mvlyc1064A1_A1	227576	229344	Mvlyc1064A1_A1_g86.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	227576	84
Mvlyc1064A1_A1	230580	231002	Mvlyc1064A1_A1_g87.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	230580	85
Mvlyc1064A1_A1	234418	236201	Mvlyc1064A1_A1_g88.t1	Mvlyc1064A1	N	0	0	0.0014	0.0014	Mvlyc1064A1_A2_g1372.t1	OG0000983	Mvlyc1064A1_A2_g1372.t1	234418	86
Mvlyc1064A1_A1	238386	240017	Mvlyc1064A1_A1_g89.t1	Mvlyc1064A1	N	0.0043	0.0043	0	0	Mvlyc1064A1_A2_g1373.t1	OG0000984	Mvlyc1064A1_A2_g1373.t1	238386	87
Mvlyc1064A1_A1	240393	243364	Mvlyc1064A1_A1_g90.t1	Mvlyc1064A1	N	0.0013	0.0013	0.0011	8e-04	Mvlyc1064A1_A2_g1374.t1	OG0000985	Mvlyc1064A1_A2_g1374.t1	240393	88
Mvlyc1064A1_A1	248916	251783	Mvlyc1064A1_A1_g91.t1	Mvlyc1064A1	N	0.0064	0.0032	0.001	7e-04	Mvlyc1064A1_A2_g1375.t1	OG0000986	Mvlyc1064A1_A2_g1375.t1	248916	89
Mvlyc1064A1_A1	257929	259176	Mvlyc1064A1_A1_g92.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	257929	90
Mvlyc1064A1_A1	259820	262222	Mvlyc1064A1_A1_g93.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	259820	91
Mvlyc1064A1_A1	262486	267466	Mvlyc1064A1_A1_g94.t2	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	262486	92
Mvlyc1064A1_A1	272623	275030	Mvlyc1064A1_A1_g95.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	272623	93
Mvlyc1064A1_A1	275838	276979	Mvlyc1064A1_A1_g96.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	275838	94
Mvlyc1064A1_A1	277187	281478	Mvlyc1064A1_A1_g97.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	277187	95
Mvlyc1064A1_A1	282108	282840	Mvlyc1064A1_A1_g98.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	282108	96
Mvlyc1064A1_A1	283790	285460	Mvlyc1064A1_A1_g99.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	283790	97
Mvlyc1064A1_A1	287412	287775	Mvlyc1064A1_A1_g101.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	287412	99
Mvlyc1064A1_A1	296274	298334	Mvlyc1064A1_A1_g102.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	296274	100
Mvlyc1064A1_A1	298579	298914	Mvlyc1064A1_A1_g104.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	298579	101
Mvlyc1064A1_A1	300082	300678	Mvlyc1064A1_A1_g105.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	300082	102
Mvlyc1064A1_A1	300770	301899	Mvlyc1064A1_A1_g106.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	300770	103
Mvlyc1064A1_A1	303278	304173	Mvlyc1064A1_A1_g107.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	303278	104
Mvlyc1064A1_A1	303624	304194	Mvlyc1064A1_A1_g108.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	303624	105
Mvlyc1064A1_A1	305397	307653	Mvlyc1064A1_A1_g109.t2	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	305397	106
Mvlyc1064A1_A1	310948	312921	Mvlyc1064A1_A1_g110.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	310948	107
Mvlyc1064A1_A1	315464	316012	Mvlyc1064A1_A1_g111.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	315464	108
Mvlyc1064A1_A1	316364	317663	Mvlyc1064A1_A1_g112.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	316364	109
Mvlyc1064A1_A1	317853	318060	Mvlyc1064A1_A1_g113.t1	Mvlyc1064A1	N	0.197	0.0943	0.1874	0.054	Mvlyc1064A1_A2_g2662.t1	OG0000992	Mvlyc1064A1_A2_g2662.t1	317853	110
Mvlyc1064A1_A1	318274	318812	Mvlyc1064A1_A1_g114.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	318274	111
Mvlyc1064A1_A1	319920	320757	Mvlyc1064A1_A1_g115.t1	Mvlyc1064A1	N	0.0496	0.0204	0.0236	0.0084	Mvlyc1064A1_A2_g1915.t1	OG0000993	Mvlyc1064A1_A2_g1915.t1	319920	112
Mvlyc1064A1_A1	322123	322680	Mvlyc1064A1_A1_g116.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	322123	113
Mvlyc1064A1_A1	324589	324801	Mvlyc1064A1_A1_g117.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	324589	114
Mvlyc1064A1_A1	325754	328502	Mvlyc1064A1_A1_g118.t2	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	325754	115
Mvlyc1064A1_A1	332212	333193	Mvlyc1064A1_A1_g119.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	332212	116
Mvlyc1064A1_A1	335940	336236	Mvlyc1064A1_A1_g120.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	335940	117
Mvlyc1064A1_A1	337815	342587	Mvlyc1064A1_A1_g121.t1	Mvlyc1064A1	N	0.0349	0.0059	0.0111	0.002	Mvlyc1064A1_A2_g2528.t1	OG0000994	Mvlyc1064A1_A2_g2528.t1	337815	118
Mvlyc1064A1_A1	342659	343448	Mvlyc1064A1_A1_g122.t1	Mvlyc1064A1	N	0.0402	0.0144	0.0122	0.005	Mvlyc1064A1_A2_g2529.t1	OG0000995	Mvlyc1064A1_A2_g2529.t1	342659	119
Mvlyc1064A1_A1	343906	345432	Mvlyc1064A1_A1_g123.t1	Mvlyc1064A1	N	0.0419	0.01	0.0169	0.004	Mvlyc1064A1_A2_g2530.t1	OG0000996	Mvlyc1064A1_A2_g2530.t1	343906	120
Mvlyc1064A1_A1	349059	351442	Mvlyc1064A1_A1_g124.t3	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	349059	121
Mvlyc1064A1_A1	352783	353112	Mvlyc1064A1_A1_g125.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	352783	122
Mvlyc1064A1_A1	354134	355498	Mvlyc1064A1_A1_g126.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	354134	123
Mvlyc1064A1_A1	357937	361103	Mvlyc1064A1_A1_g127.t1	Mvlyc1064A1	N	0.0431	0.0085	0.0145	0.0029	Mvlyc1064A1_A2_g1517.t2	OG0000997	Mvlyc1064A1_A2_g1517.t2	357937	124
Mvlyc1064A1_A1	361362	362480	Mvlyc1064A1_A1_g128.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	361362	125
Mvlyc1064A1_A1	362607	362954	Mvlyc1064A1_A1_g129.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	362607	126
Mvlyc1064A1_A1	363202	363543	Mvlyc1064A1_A1_g130.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	363202	127
Mvlyc1064A1_A1	365909	366121	Mvlyc1064A1_A1_g132.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	365909	129
Mvlyc1064A1_A1	368351	370216	Mvlyc1064A1_A1_g133.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	368351	130
Mvlyc1064A1_A1	371961	372797	Mvlyc1064A1_A1_g134.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	371961	131
Mvlyc1064A1_A1	374013	374765	Mvlyc1064A1_A1_g135.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	374013	132
Mvlyc1064A1_A1	375683	376242	Mvlyc1064A1_A1_g136.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	375683	133
Mvlyc1064A1_A1	379225	379777	Mvlyc1064A1_A1_g137.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	379225	134
Mvlyc1064A1_A1	384564	385267	Mvlyc1064A1_A1_g139.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	384564	136
Mvlyc1064A1_A1	385640	386858	Mvlyc1064A1_A1_g140.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	385640	137
Mvlyc1064A1_A1	387184	388620	Mvlyc1064A1_A1_g141.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	387184	138
Mvlyc1064A1_A1	388930	393931	Mvlyc1064A1_A1_g142.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	388930	139
Mvlyc1064A1_A1	394554	397777	Mvlyc1064A1_A1_g143.t2	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	394554	140
Mvlyc1064A1_A1	398381	400437	Mvlyc1064A1_A1_g145.t3	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	398381	141
Mvlyc1064A1_A1	404057	404909	Mvlyc1064A1_A1_g146.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	404057	142
